code,month,cases,deaths,ratio
,,sum,sum,
ES,1,0,0,0.0
ES,2,54,0,0.0
ES,3,104213,7340,0.07043267154769559
ES,4,110916,17203,0.15509935446644307
ES,5,24246,2584,0.10657428029365669
ES,6,9842,1228,0.12477138792928266
ES,7,39251,90,0.0022929352118417367
ES,8,97532,393,0.004029446745683468
FR,1,6,0,0.0
FR,2,51,2,0.0392156862745098
FR,3,44493,3022,0.0679207965297912
FR,4,83892,21063,0.2510728078958661
FR,5,23054,4684,0.20317515398629304
FR,6,12764,1042,0.08163585083046067
FR,7,22313,441,0.019764262985703402
FR,8,47827,249,0.00520626424404625
IT,1,3,0,0.0
IT,2,885,21,0.023728813559322035
IT,3,100851,11570,0.11472370130192065
IT,4,101852,16091,0.15798413384125987
IT,5,29073,5658,0.19461355897224228
IT,6,7772,1404,0.1806484817292846
IT,7,6722,388,0.05772091639393038
IT,8,9907,295,0.02977692540627839
