time,EG,EU,GU
2020-08-20 00:00:00,0.90341,1.1844,1.31091
2020-08-20 00:01:00,0.9035,1.18393,1.31032
2020-08-20 00:02:00,0.90338,1.18396,1.31049
2020-08-20 00:03:00,0.90364,1.18418,1.31038
2020-08-20 00:04:00,0.9037,1.18418,1.31028
2020-08-20 00:05:00,0.9037200000000001,1.18433,1.31043
2020-08-20 00:06:00,0.9037299999999999,1.18447,1.31053
2020-08-20 00:07:00,0.9037200000000001,1.1845,1.31058
2020-08-20 00:08:00,0.90371,1.18441,1.31048
2020-08-20 00:09:00,0.90369,1.18438,1.31047
2020-08-20 00:10:00,0.90374,1.18439,1.31041
2020-08-20 00:11:00,0.9037700000000001,1.18437,1.31035
2020-08-20 00:12:00,0.9037299999999999,1.18415,1.31018
2020-08-20 00:13:00,0.90364,1.18419,1.31034
2020-08-20 00:14:00,0.9036,1.18403,1.31026
2020-08-20 00:15:00,0.90354,1.18407,1.31034
2020-08-20 00:16:00,0.9035,1.18396,1.31028
2020-08-20 00:17:00,0.9035200000000001,1.18398,1.31028
2020-08-20 00:18:00,0.9035799999999999,1.18393,1.31017
2020-08-20 00:19:00,0.9035799999999999,1.18403,1.31026
2020-08-20 00:20:00,0.90355,1.18398,1.31027
2020-08-20 00:21:00,0.90361,1.18404,1.31024
2020-08-20 00:22:00,0.90364,1.18412,1.31027
2020-08-20 00:23:00,0.9036700000000001,1.18418,1.31032
2020-08-20 00:24:00,0.90361,1.18417,1.31035
2020-08-20 00:25:00,0.9036200000000001,1.18416,1.31035
2020-08-20 00:26:00,0.90359,1.18419,1.31045
2020-08-20 00:27:00,0.9036,1.1842,1.31039
2020-08-20 00:28:00,0.90354,1.18425,1.31055
2020-08-20 00:29:00,0.90356,1.18427,1.31055
2020-08-20 00:30:00,0.90356,1.18428,1.31057
2020-08-20 00:31:00,0.90355,1.18424,1.31053
2020-08-20 00:32:00,0.90356,1.18435,1.31066
2020-08-20 00:33:00,0.90359,1.18445,1.31072
2020-08-20 00:34:00,0.9036,1.18446,1.31076
2020-08-20 00:35:00,0.90348,1.18434,1.31078
2020-08-20 00:36:00,0.9035700000000001,1.18462,1.31097
2020-08-20 00:37:00,0.90355,1.18452,1.31088
2020-08-20 00:38:00,0.90354,1.18465,1.31101
2020-08-20 00:39:00,0.9035,1.18455,1.31097
2020-08-20 00:40:00,0.90359,1.18464,1.31095
2020-08-20 00:41:00,0.9036,1.18474,1.31106
2020-08-20 00:42:00,0.9035,1.18463,1.31106
2020-08-20 00:43:00,0.90348,1.18466,1.31111
2020-08-20 00:44:00,0.90348,1.18486,1.31131
2020-08-20 00:45:00,0.90351,1.18496,1.31141
2020-08-20 00:46:00,0.90351,1.18494,1.31137
2020-08-20 00:47:00,0.90354,1.18479,1.31115
